"GEOID","senior_population"
"1900100",33580
"1900200",34253
"1900301",25165
"1900302",27128
"1900400",34374
"1900500",30532
"1900600",36799
"1900700",41185
"1900800",34304
"1900900",40836
"1901100",26803
"1901200",31034
"1901300",23997
"1901400",30630
"1901501",33323
"1901502",26554
"1901503",34535
"1901600",21237
"1901800",32611
"1901900",34061
"1902000",29306
"1902100",46824
"1902200",33442
"1902300",29220
